ab,43.158712594,43512308,47777680,227255
ab,45.073733109,48873342,49293735,297915
ab,46.194098546,44937283,47999428,239824
binoptions,40.077192062,209396901,148972326,241388
binoptions,40.097112351,209047366,149009668,224750
binoptions,40.134318677,208557106,149095125,233065
binoptions,40.160855873,208861740,149201866,237132
binoptions,40.188332736,208193974,149378339,244097
page_rank,55.522946646,161018892581,54005776640,40584775
page_rank,56.659815012,161132876689,53839360702,47702359
page_rank,56.675168785,161030303176,53842534749,40658855
page_rank,56.965302166,160548719246,53915089152,40854272
page_rank,57.073388859,161411667032,53838937859,40126676
quick_sort,55.691468134,118219426034,64530973292,39576730
quick_sort,57.025372157,120528428064,64532471205,233057414
quick_sort,57.399825360,122680950355,64533189386,346894793
quick_sort,57.423678055,123261013847,64533525965,406851395
quick_sort,57.652702301,121136810960,64532063861,240036734
shark,51.914850514,53973800280,26637062455,367243838
shark,52.491915248,54534784720,26721795353,375530970
shark,52.986735718,54999769148,26870667274,371041983
