4,5,ab,ab,56.484877851,42632776,46895222,183108,56.749634098,44504102,46954456,217230
4,5,ab,ab,57.139607260,46121290,47808899,251878,56.592591542,45642450,47595550,227414
4,5,ab,ab,57.903741856,48163165,48947486,279185,57.650055815,44105917,47093356,201073
4,5,ab,binoptions,47.806624716,43376452,47843994,217126,44.748279706,252899937,157251570,778533
4,5,ab,binoptions,47.894924324,45595175,47760405,247882,43.311832929,229369448,152195843,469631
4,5,ab,binoptions,50.913432377,45223251,47913265,244465,44.984474916,238588611,153769900,529742
4,5,ab,page_rank,48.162674683,45615624,47971147,250815,60.579095755,174833449119,55639217557,255777557
4,5,ab,page_rank,49.558997154,44106679,47905739,226912,60.910315926,174244236351,55763185159,214194767
4,5,ab,page_rank,51.719147055,49166151,49413427,302458,60.435517328,171449909375,54724644139,161144433
4,5,ab,quick_sort,41.488050646,45797573,47854002,253449,59.138487666,129820697032,65494066972,378810784
4,5,ab,quick_sort,44.711827143,45724254,47741672,253699,59.833151952,129522459992,66150211576,296181288
4,5,ab,quick_sort,45.643445532,46411507,48040604,249979,58.728540093,125306524363,65333836538,259091724
4,5,ab,shark,47.793549684,55740939,47649655,288195,55.062967188,55688463534,27047683387,405037696
4,5,ab,shark,59.136246927,56570481,47895810,345727,55.738152957,55139700172,26789050920,382997300
4,5,ab,shark,59.871334703,56380848,49101323,300972,55.122487657,55826306724,26962058919,410620285
4,5,binoptions,binoptions,40.092711692,213082280,148813827,340832,40.156761803,217583056,149001877,307206
4,5,binoptions,binoptions,40.124546461,210858776,149122158,230239,40.187093360,214801316,148904043,432720
4,5,binoptions,binoptions,40.153381117,209640971,149233755,234474,40.226787443,210060058,149118803,251107
4,5,binoptions,binoptions,40.156412959,206668760,149161868,237441,40.183755813,215179990,149018383,417082
4,5,binoptions,binoptions,40.390182345,208391128,148494995,260084,40.497445144,213618338,148718640,371541
4,5,binoptions,page_rank,40.134884230,212704372,149176900,376804,56.734821385,161311808631,53774246741,40066394
4,5,binoptions,page_rank,40.137068788,213230020,149161635,393013,56.756252310,159873688086,53675022238,38837062
4,5,binoptions,page_rank,40.159236448,210592032,149196848,271514,55.740150620,160744740666,53810022432,39917762
4,5,binoptions,page_rank,40.204966889,209118072,149219010,244512,56.817738796,160963967118,53765854847,38929232
4,5,binoptions,page_rank,40.410577555,212503665,148797162,383354,56.025713559,161495729231,53781315844,40247513
4,5,binoptions,quick_sort,40.099632483,214191422,148999998,428569,56.311844378,118726880703,64535072359,75079330
4,5,binoptions,quick_sort,40.116141270,210800960,149082857,335335,57.423834382,122409535048,64536417168,305212211
4,5,binoptions,quick_sort,40.150058268,212493764,149178842,320702,57.193992281,121643632882,64535950159,265858865
4,5,binoptions,quick_sort,40.187151647,209210074,149281712,406596,58.165612016,125188163647,64535789137,491672994
4,5,binoptions,quick_sort,40.200285280,210975196,149301447,235125,56.226565854,118786534247,64535196699,67991439
4,5,page_rank,binoptions,55.515311920,159951256239,53832419270,39636262,40.169000969,220060872,149150512,410109
4,5,page_rank,binoptions,55.795833475,160019875935,53817489866,39284382,40.134695295,214382912,149021085,425794
4,5,page_rank,binoptions,56.005157563,161641221738,53927184538,41351675,40.441678046,209498552,148727917,241514
4,5,page_rank,binoptions,56.805396011,161326206933,53900684399,40142944,40.110829697,212838869,148958153,338658
4,5,page_rank,binoptions,57.139150142,161749770124,53917531500,40306449,40.133286184,213169950,149043246,371471
4,5,page_rank,page_rank,55.321280289,160322471843,53644977030,38828659,55.657334299,161224770553,53576119512,38624699
4,5,page_rank,page_rank,56.099600049,161145645669,53633288459,39191602,56.310107971,161859878924,53607881576,38727097
4,5,page_rank,page_rank,56.315100283,161763497877,53581744166,39086779,57.066194881,162364365391,53594366985,40253710
4,5,page_rank,page_rank,57.026870925,161025107658,53648022596,39648643,56.976752522,161635339521,53566591932,38549661
4,5,page_rank,page_rank,57.064364909,161582638888,53619894087,45868967,56.995884521,161824849210,53610603884,38717658
4,5,page_rank,quick_sort,64.146287512,160112350303,53813974272,40049069,80.211657206,124001501587,64558406868,421182941
4,5,page_rank,quick_sort,64.237134871,160250632002,53840690857,42366640,79.380427344,126675188807,64558361782,584287704
4,5,page_rank,quick_sort,64.998129734,161344296596,53974038895,55912132,78.678628080,122459976306,64554028689,298202005
4,5,page_rank,quick_sort,65.298879745,160909132964,53814247925,40510287,78.317628366,118691231600,64552202050,40572427
4,5,page_rank,quick_sort,65.359248990,160251117481,53748181476,40154793,78.744538049,120757498855,64551622003,187861911
4,5,quick_sort,binoptions,56.004509120,117930006908,64532704039,43079917,40.213587831,209818382,149203957,231488
4,5,quick_sort,binoptions,56.951699664,121156545246,64534260739,239583584,40.214126935,210031222,149271811,239475
4,5,quick_sort,binoptions,57.387890714,122842321962,64534637027,371483775,40.258710626,211106554,149394860,243086
4,5,quick_sort,binoptions,58.324522591,125266206768,64535305234,551052160,40.224030387,209791147,149287642,234768
4,5,quick_sort,binoptions,60.881432623,120447821488,64534750001,208523966,40.461202743,211680376,148797804,319065
4,5,quick_sort,page_rank,78.180118021,118640411063,64563440847,97929448,64.924222675,161962105827,53911363101,40919526
4,5,quick_sort,page_rank,78.335658048,119894292537,64567211139,168255485,65.442933914,161510386139,54014051418,41173680
4,5,quick_sort,page_rank,80.072036452,121762890900,64566717095,292652733,65.395883118,161296696774,53825034756,40721237
4,5,quick_sort,page_rank,80.183224906,123980972796,64566275859,436392020,64.781664518,161485050867,53770745615,40704326
4,5,quick_sort,page_rank,80.353921255,121983345179,64566207141,308964502,66.163224104,161302447434,53878641277,41222558
