1462822264125935,,3089271098474463779,5198628003788652644,,0,,,,,,,
1462822264125937,,3089271098474463779,7675612576036545068,,0,,,,,,,
1462822264140236,,3089271098474463779,5198628003788652644,12391129714481465863,1,,,,,,,
1462822264140278,,3089271098474463779,7675612576036545068,13426245571832694658,1,,,,,,,
1462822266376355,,5335372555983594036,10495131349054454335,,0,,,,,,,
1462822266376356,,5335372555983594036,1404797746177978037,,0,,,,,,,
1462822266376357,,5335372555983594036,1404797746177978038,,0,,,,,,,
1462822266376358,,5335372555983594036,1404797746177978039,,0,,,,,,,
1462822266376358,,5335372555983594036,1404797746177978040,,0,,,,,,,
1462822266376359,,5335372555983594036,1404797746177978041,,0,,,,,,,
1462822266376359,,5335372555983594036,1404797746177978042,,0,,,,,,,
1462822266376360,,5335372555983594036,1404797746177978043,,0,,,,,,,
1462822266389746,,5335372555983594036,10495131349054454335,906025556471407988,1,,,,,,,
1462822266389827,,5335372555983594036,1404797746177978037,10565564586520261190,1,,,,,,,
1462822266389881,,5335372555983594036,1404797746177978038,11633343505245590058,1,,,,,,,
1462822266389964,,5335372555983594036,1404797746177978039,15016062328757266316,1,,,,,,,
1462822266390026,,5335372555983594036,1404797746177978040,14624055332059453870,1,,,,,,,
1462822266390059,,5335372555983594036,1404797746177978041,6632285673723748094,1,,,,,,,
1462822266390090,,5335372555983594036,1404797746177978042,4187083953675917516,1,,,,,,,
1462822266390121,,5335372555983594036,1404797746177978043,15777792779537549541,1,,,,,,,
1462822268627822,,10345465404338789506,17948074771287600756,,0,,,,,,,
1462822268627823,,10345465404338789506,16775772180262218665,,0,,,,,,,
1462822268627824,,10345465404338789506,16775772180262218670,,0,,,,,,,
1462822268627825,,10345465404338789506,16775772180262218671,,0,,,,,,,
1462822268627825,,10345465404338789506,16775772180262218668,,0,,,,,,,
1462822268627826,,10345465404338789506,16775772180262218669,,0,,,,,,,
1462822268627826,,10345465404338789506,16775772180262218658,,0,,,,,,,
1462822268627827,,10345465404338789506,16775772180262218659,,0,,,,,,,
1462822268627827,,10345465404338789506,16775772180262218656,,0,,,,,,,
1462822268627827,,10345465404338789506,16775772180262218657,,0,,,,,,,
1462822268627828,,10345465404338789506,16775772180262218662,,0,,,,,,,
1462822268627828,,10345465404338789506,16775772180262218663,,0,,,,,,,
1462822268627829,,10345465404338789506,16775772180262218660,,0,,,,,,,
1462822268627829,,10345465404338789506,16775772180262218661,,0,,,,,,,
1462822268627830,,10345465404338789506,16775772180262218682,,0,,,,,,,
1462822268627830,,10345465404338789506,16775772180262218683,,0,,,,,,,
1462822268643380,,10345465404338789506,17948074771287600756,980052016105123682,1,,,,,,,
1462822268643593,,10345465404338789506,16775772180262218665,10852441287475671024,1,,,,,,,
1462822268643683,,10345465404338789506,16775772180262218670,385669334771756718,1,,,,,,,
1462822268643757,,10345465404338789506,16775772180262218671,7199876940601124209,1,,,,,,,
1462822268643832,,10345465404338789506,16775772180262218668,12852228531220481488,1,,,,,,,
