2016-09-06T12:43:07.690536933+01:00,2016-09-06T12:43:10.058099763+01:00,2016-09-06T12:43:15.111627656+01:00
2016-09-06T12:43:07.704371537+01:00,2016-09-06T12:43:10.013690962+01:00,2016-09-06T12:43:15.343905754+01:00
2016-09-06T12:43:15.912502388+01:00,2016-09-06T12:43:17.721324799+01:00,2016-09-06T12:43:23.740323816+01:00
2016-09-06T12:43:15.862435134+01:00,2016-09-06T12:43:17.928668143+01:00,2016-09-06T12:44:03.682876215+01:00
2016-09-06T12:43:24.762560987+01:00,2016-09-06T12:43:26.420254809+01:00,2016-09-06T12:43:33.583141317+01:00
2016-09-06T12:43:24.362496226+01:00,2016-09-06T12:43:26.723014789+01:00,2016-09-06T12:43:36.976696542+01:00
2016-09-06T12:43:32.362583034+01:00,2016-09-06T12:43:34.184188261+01:00,2016-09-06T12:43:44.868855997+01:00
2016-09-06T12:43:32.662461057+01:00,2016-09-06T12:43:34.499297648+01:00,2016-09-06T12:43:40.583101936+01:00
2016-09-06T12:43:40.412582855+01:00,2016-09-06T12:43:42.235757722+01:00,2016-09-06T12:43:53.185942794+01:00
2016-09-06T12:43:40.213536543+01:00,2016-09-06T12:43:42.371647478+01:00,2016-09-06T12:44:33.139927133+01:00
2016-09-06T12:43:48.062625368+01:00,2016-09-06T12:43:49.989685757+01:00,2016-09-06T12:44:03.472659093+01:00
2016-09-06T12:43:48.212556978+01:00,2016-09-06T12:43:50.121184189+01:00,2016-09-06T12:44:00.242263901+01:00
2016-09-06T12:43:56.162471032+01:00,2016-09-06T12:43:57.8859344+01:00,2016-09-06T12:44:13.286607656+01:00
2016-09-06T12:43:55.962627893+01:00,2016-09-06T12:43:58.302257847+01:00,2016-09-06T12:44:10.463459678+01:00
2016-09-06T12:44:04.212495509+01:00,2016-09-06T12:44:06.512742239+01:00,2016-09-06T12:44:19.024149827+01:00
2016-09-06T12:44:03.962455454+01:00,2016-09-06T12:44:06.040369996+01:00,2016-09-06T12:44:13.68243241+01:00
2016-09-06T12:44:12.162602999+01:00,2016-09-06T12:44:13.906998572+01:00,2016-09-06T12:44:29.483098457+01:00
2016-09-06T12:44:11.962481809+01:00,2016-09-06T12:44:13.805614122+01:00,2016-09-06T12:44:21.081017537+01:00
2016-09-06T12:44:20.212498437+01:00,2016-09-06T12:44:22.145666787+01:00,2016-09-06T12:44:30.530916754+01:00
2016-09-06T12:44:19.962494362+01:00,2016-09-06T12:44:21.816796786+01:00,2016-09-06T12:44:30.722869442+01:00
2016-09-06T12:44:28.062512015+01:00,2016-09-06T12:44:29.702235429+01:00,2016-09-06T12:44:37.632868447+01:00
2016-09-06T12:44:28.162515528+01:00,2016-09-06T12:44:29.967490217+01:00,2016-09-06T12:44:42.811316343+01:00
2016-09-06T12:44:36.312495658+01:00,2016-09-06T12:44:37.967403388+01:00,2016-09-06T12:44:44.223801915+01:00
2016-09-06T12:44:36.362511896+01:00,2016-09-06T12:44:38.118590647+01:00,2016-09-06T12:44:45.88648359+01:00
2016-09-06T12:43:09.86503618+01:00,2016-09-06T12:43:12.017480283+01:00,2016-09-06T12:43:17.701853666+01:00
2016-09-06T12:43:10.062491216+01:00,2016-09-06T12:43:12.206194773+01:00,2016-09-06T12:43:18.359965848+01:00
2016-09-06T12:43:09.938376383+01:00,2016-09-06T12:43:12.11272444+01:00,2016-09-06T12:43:20.20424474+01:00
2016-09-06T12:43:10.262512015+01:00,2016-09-06T12:43:12.690555785+01:00,2016-09-06T12:43:23.127537798+01:00
2016-09-06T12:43:10.162447254+01:00,2016-09-06T12:43:12.45082627+01:00,2016-09-06T12:43:19.115334887+01:00
2016-09-06T12:43:10.112450901+01:00,2016-09-06T12:43:12.694466716+01:00,2016-09-06T12:43:16.927685246+01:00
2016-09-06T12:43:09.927558606+01:00,2016-09-06T12:43:12.106066147+01:00,2016-09-06T12:43:19.307629793+01:00
2016-09-06T12:43:10.212464273+01:00,2016-09-06T12:43:12.399011692+01:00,2016-09-06T12:43:16.815030631+01:00
2016-09-06T12:43:18.862551092+01:00,2016-09-06T12:43:20.672299694+01:00,2016-09-06T12:44:30.794403598+01:00
2016-09-06T12:43:18.51256029+01:00,2016-09-06T12:43:20.183044261+01:00,2016-09-06T12:43:27.435729092+01:00
2016-09-06T12:43:18.612525888+01:00,2016-09-06T12:43:20.298354874+01:00,2016-09-06T12:43:30.262124028+01:00
2016-09-06T12:43:19.112485947+01:00,2016-09-06T12:43:20.839540604+01:00,2016-09-06T12:43:30.127089711+01:00
2016-09-06T12:43:18.312822187+01:00,2016-09-06T12:43:19.972870557+01:00,2016-09-06T12:43:27.210663502+01:00
2016-09-06T12:43:18.362783788+01:00,2016-09-06T12:43:19.988514943+01:00,2016-09-06T12:44:01.413230904+01:00
2016-09-06T12:43:18.962544658+01:00,2016-09-06T12:43:20.509575593+01:00,2016-09-06T12:43:27.142591979+01:00
2016-09-06T12:43:18.912514219+01:00,2016-09-06T12:43:20.362487255+01:00,2016-09-06T12:43:28.165235705+01:00
2016-09-06T12:43:26.812473711+01:00,2016-09-06T12:43:28.577453722+01:00,2016-09-06T12:43:34.449955494+01:00
2016-09-06T12:43:26.762519617+01:00,2016-09-06T12:43:28.428857319+01:00,2016-09-06T12:43:39.402946151+01:00
2016-09-06T12:43:26.512479597+01:00,2016-09-06T12:43:28.108326533+01:00,2016-09-06T12:45:41.482287172+01:00
2016-09-06T12:43:26.912515773+01:00,2016-09-06T12:43:28.599425163+01:00,2016-09-06T12:43:39.383367925+01:00
2016-09-06T12:43:27.112484785+01:00,2016-09-06T12:43:28.815116555+01:00,2016-09-06T12:43:36.484880746+01:00
2016-09-06T12:43:26.862431373+01:00,2016-09-06T12:43:28.534838643+01:00,2016-09-06T12:43:37.219677044+01:00
2016-09-06T12:43:26.712498826+01:00,2016-09-06T12:43:28.449372518+01:00,2016-09-06T12:44:31.4704503+01:00
2016-09-06T12:43:27.062521501+01:00,2016-09-06T12:43:28.632979533+01:00,2016-09-06T12:43:36.861526249+01:00
2016-09-06T12:43:34.562461372+01:00,2016-09-06T12:43:36.563813911+01:00,2016-09-06T12:43:43.122773775+01:00
2016-09-06T12:43:34.812571604+01:00,2016-09-06T12:43:36.503602454+01:00,2016-09-06T12:43:45.68533926+01:00
2016-09-06T12:43:34.512616032+01:00,2016-09-06T12:43:36.054821044+01:00,2016-09-06T12:43:43.499607278+01:00
2016-09-06T12:43:34.712569388+01:00,2016-09-06T12:43:36.387404524+01:00,2016-09-06T12:43:44.936094077+01:00
2016-09-06T12:43:35.212626452+01:00,2016-09-06T12:43:36.897271934+01:00,2016-09-06T12:46:44.16336149+01:00
2016-09-06T12:43:35.012724622+01:00,2016-09-06T12:43:36.717170006+01:00,2016-09-06T12:43:47.18035131+01:00
2016-09-06T12:43:35.162680336+01:00,2016-09-06T12:43:36.831155743+01:00,2016-09-06T12:43:45.437352676+01:00
2016-09-06T12:43:35.11482002+01:00,2016-09-06T12:43:36.934764305+01:00,2016-09-06T12:43:48.116368048+01:00
2016-09-06T12:43:42.612504041+01:00,2016-09-06T12:43:44.236274561+01:00,2016-09-06T12:43:51.616964045+01:00
2016-09-06T12:43:43.012502587+01:00,2016-09-06T12:43:44.720809983+01:00,2016-09-06T12:45:44.787284432+01:00
2016-09-06T12:43:42.812490664+01:00,2016-09-06T12:43:44.449656369+01:00,2016-09-06T12:46:12.466027423+01:00
2016-09-06T12:43:43.162474741+01:00,2016-09-06T12:43:44.840918695+01:00,2016-09-06T12:43:55.991636082+01:00
2016-09-06T12:43:42.912482549+01:00,2016-09-06T12:43:44.59019773+01:00,2016-09-06T12:43:52.372751726+01:00
2016-09-06T12:43:43.112607918+01:00,2016-09-06T12:43:44.83209522+01:00,2016-09-06T12:43:54.213906715+01:00
2016-09-06T12:43:42.712473729+01:00,2016-09-06T12:43:44.486918117+01:00,2016-09-06T12:45:59.403852443+01:00
2016-09-06T12:43:43.062461934+01:00,2016-09-06T12:43:44.770316925+01:00,2016-09-06T12:43:53.962409418+01:00
2016-09-06T12:43:50.862476926+01:00,2016-09-06T12:43:52.52579651+01:00,2016-09-06T12:45:51.473016788+01:00
2016-09-06T12:43:50.312533323+01:00,2016-09-06T12:43:51.961065756+01:00,2016-09-06T12:44:00.408218527+01:00
2016-09-06T12:43:50.762456161+01:00,2016-09-06T12:43:52.555129957+01:00,2016-09-06T12:46:49.194003727+01:00
2016-09-06T12:43:50.66269151+01:00,2016-09-06T12:43:52.313656285+01:00,2016-09-06T12:44:01.975190278+01:00
2016-09-06T12:43:51.112665913+01:00,2016-09-06T12:43:52.838883851+01:00,2016-09-06T12:44:00.142283004+01:00
2016-09-06T12:43:51.062543532+01:00,2016-09-06T12:43:52.783259438+01:00,2016-09-06T12:45:45.115936596+01:00
2016-09-06T12:43:50.962601618+01:00,2016-09-06T12:43:52.607430872+01:00,2016-09-06T12:44:00.200461395+01:00
2016-09-06T12:43:50.912478149+01:00,2016-09-06T12:43:52.612662386+01:00,2016-09-06T12:44:01.835976994+01:00
2016-09-06T12:43:57.962663476+01:00,2016-09-06T12:43:59.901758067+01:00,2016-09-06T12:44:33.022151842+01:00
2016-09-06T12:43:58.714632532+01:00,2016-09-06T12:44:00.315456488+01:00,2016-09-06T12:44:07.457811629+01:00
2016-09-06T12:43:58.962486771+01:00,2016-09-06T12:44:01.609243959+01:00,2016-09-06T12:46:22.600872293+01:00
2016-09-06T12:43:58.91256376+01:00,2016-09-06T12:44:00.626908845+01:00,2016-09-06T12:44:10.52643424+01:00
2016-09-06T12:43:58.862529839+01:00,2016-09-06T12:44:00.60251913+01:00,2016-09-06T12:46:36.387971467+01:00
2016-09-06T12:43:58.812639227+01:00,2016-09-06T12:44:00.439191546+01:00,2016-09-06T12:44:07.69014084+01:00
2016-09-06T12:43:59.012540355+01:00,2016-09-06T12:44:00.673410895+01:00,2016-09-06T12:44:08.299490213+01:00
2016-09-06T12:43:59.112491898+01:00,2016-09-06T12:44:00.834509779+01:00,2016-09-06T12:44:08.876689281+01:00
2016-09-06T12:44:06.712503049+01:00,2016-09-06T12:44:08.402069397+01:00,2016-09-06T12:47:14.208534605+01:00
2016-09-06T12:44:06.212492417+01:00,2016-09-06T12:44:08.06639093+01:00,2016-09-06T12:44:18.484460862+01:00
2016-09-06T12:44:06.812672625+01:00,2016-09-06T12:44:08.573752229+01:00,2016-09-06T12:44:16.696713649+01:00
2016-09-06T12:44:07.012527785+01:00,2016-09-06T12:44:09.093451882+01:00,2016-09-06T12:44:22.367271163+01:00
2016-09-06T12:44:06.862530768+01:00,2016-09-06T12:44:08.696602081+01:00,2016-09-06T12:44:16.165854366+01:00
2016-09-06T12:44:06.962481537+01:00,2016-09-06T12:44:09.152742217+01:00,2016-09-06T12:47:05.686368046+01:00
2016-09-06T12:44:06.912498237+01:00,2016-09-06T12:44:08.693553631+01:00,2016-09-06T12:44:16.9001639+01:00
2016-09-06T12:44:06.612461941+01:00,2016-09-06T12:44:08.321591311+01:00,2016-09-06T12:44:18.547920259+01:00
2016-09-06T12:44:14.663003568+01:00,2016-09-06T12:44:16.500161615+01:00,2016-09-06T12:44:22.508088412+01:00
2016-09-06T12:44:14.71257086+01:00,2016-09-06T12:44:16.560594238+01:00,2016-09-06T12:44:22.644709448+01:00
2016-09-06T12:44:14.513448176+01:00,2016-09-06T12:44:16.241039297+01:00,2016-09-06T12:44:26.424227022+01:00
2016-09-06T12:44:15.012547699+01:00,2016-09-06T12:44:16.655903116+01:00,2016-09-06T12:44:25.090706902+01:00
2016-09-06T12:44:15.062715215+01:00,2016-09-06T12:44:16.705848095+01:00,2016-09-06T12:44:26.375505738+01:00
2016-09-06T12:44:14.612645317+01:00,2016-09-06T12:44:16.56067855+01:00,2016-09-06T12:44:27.193345207+01:00
2016-09-06T12:44:14.962485902+01:00,2016-09-06T12:44:16.62431526+01:00,2016-09-06T12:44:26.306786398+01:00
2016-09-06T12:44:14.91309894+01:00,2016-09-06T12:44:16.647942766+01:00,2016-09-06T12:44:26.329926857+01:00
2016-09-06T12:44:22.412566412+01:00,2016-09-06T12:44:24.080421629+01:00,2016-09-06T12:44:32.136913879+01:00
2016-09-06T12:44:22.912620596+01:00,2016-09-06T12:44:24.505094848+01:00,2016-09-06T12:44:37.870398754+01:00
2016-09-06T12:44:22.71261281+01:00,2016-09-06T12:44:24.451615498+01:00,2016-09-06T12:44:34.81529991+01:00
2016-09-06T12:44:22.612530594+01:00,2016-09-06T12:44:24.354354232+01:00,2016-09-06T12:44:32.993817191+01:00
2016-09-06T12:44:22.962483562+01:00,2016-09-06T12:44:24.575314695+01:00,2016-09-06T12:45:31.950716399+01:00
2016-09-06T12:44:22.762611496+01:00,2016-09-06T12:44:24.33023457+01:00,2016-09-06T12:44:32.033370719+01:00
2016-09-06T12:44:23.012693544+01:00,2016-09-06T12:44:24.731785235+01:00,2016-09-06T12:44:32.110239701+01:00
2016-09-06T12:44:22.862828859+01:00,2016-09-06T12:44:24.497970447+01:00,2016-09-06T12:44:31.440670071+01:00
2016-09-06T12:44:30.462520253+01:00,2016-09-06T12:44:32.056355953+01:00,2016-09-06T12:44:38.088832864+01:00
2016-09-06T12:44:30.662563709+01:00,2016-09-06T12:44:32.407768765+01:00,2016-09-06T12:44:40.794257036+01:00
2016-09-06T12:44:31.012452254+01:00,2016-09-06T12:44:32.810169787+01:00,2016-09-06T12:44:46.446511212+01:00
2016-09-06T12:44:30.612452733+01:00,2016-09-06T12:44:32.554473384+01:00,2016-09-06T12:44:48.898772582+01:00
2016-09-06T12:44:31.06247884+01:00,2016-09-06T12:44:33.148085706+01:00,2016-09-06T12:44:41.250183275+01:00
2016-09-06T12:44:30.912490259+01:00,2016-09-06T12:44:32.907808929+01:00,2016-09-06T12:44:42.214192292+01:00
2016-09-06T12:44:30.712510423+01:00,2016-09-06T12:44:32.411853949+01:00,2016-09-06T12:44:43.273215333+01:00
2016-09-06T12:44:30.562735741+01:00,2016-09-06T12:44:32.187577825+01:00,2016-09-06T12:44:40.720445122+01:00
2016-09-06T12:44:38.212573042+01:00,2016-09-06T12:44:40.033692474+01:00,2016-09-06T12:44:47.618401534+01:00
2016-09-06T12:44:38.76247243+01:00,2016-09-06T12:44:40.497711917+01:00,2016-09-06T12:44:47.888309271+01:00
2016-09-06T12:44:38.812719901+01:00,2016-09-06T12:44:40.492671589+01:00,2016-09-06T12:45:53.929171976+01:00
2016-09-06T12:44:38.962611115+01:00,2016-09-06T12:44:41.059687415+01:00,2016-09-06T12:44:49.738957444+01:00
2016-09-06T12:44:38.662524906+01:00,2016-09-06T12:44:40.371661477+01:00,2016-09-06T12:44:48.626055697+01:00
2016-09-06T12:44:39.113044669+01:00,2016-09-06T12:44:41.002311311+01:00,2016-09-06T12:47:14.851334639+01:00
2016-09-06T12:44:38.862556152+01:00,2016-09-06T12:44:41.026902785+01:00,2016-09-06T12:44:49.2836483+01:00
2016-09-06T12:44:38.917989116+01:00,2016-09-06T12:44:40.827131876+01:00,2016-09-06T12:44:49.883368505+01:00
2016-09-06T12:43:14.762645543+01:00,2016-09-06T12:43:16.871212353+01:00,2016-09-06T12:43:25.182008992+01:00
2016-09-06T12:43:14.712452751+01:00,2016-09-06T12:43:16.359611717+01:00,2016-09-06T12:43:24.582412061+01:00
2016-09-06T12:43:15.412421646+01:00,2016-09-06T12:43:17.249097387+01:00,2016-09-06T12:43:25.980704639+01:00
2016-09-06T12:43:15.262513379+01:00,2016-09-06T12:43:16.997363123+01:00,2016-09-06T12:43:33.127020837+01:00
2016-09-06T12:43:15.362487508+01:00,2016-09-06T12:43:17.433655046+01:00,2016-09-06T12:43:28.999488891+01:00
2016-09-06T12:43:15.612479132+01:00,2016-09-06T12:43:17.445385792+01:00,2016-09-06T12:44:27.67842295+01:00
2016-09-06T12:43:15.462460015+01:00,2016-09-06T12:43:17.307887386+01:00,2016-09-06T12:43:33.071721565+01:00
2016-09-06T12:43:15.562432013+01:00,2016-09-06T12:43:17.319175107+01:00,2016-09-06T12:43:36.878778392+01:00
2016-09-06T12:43:15.762553313+01:00,2016-09-06T12:43:17.522644893+01:00,2016-09-06T12:43:30.247338706+01:00
2016-09-06T12:43:15.662693136+01:00,2016-09-06T12:43:17.63167692+01:00,2016-09-06T12:43:29.471860039+01:00
2016-09-06T12:43:15.312468758+01:00,2016-09-06T12:43:17.124463447+01:00,2016-09-06T12:43:28.29023219+01:00
2016-09-06T12:43:15.112464632+01:00,2016-09-06T12:43:16.753636697+01:00,2016-09-06T12:43:28.605896701+01:00
2016-09-06T12:43:15.712706723+01:00,2016-09-06T12:43:17.421296436+01:00,2016-09-06T12:43:29.400594806+01:00
