1462826842487611,,17906566767544921143,5198628003788652644,,0,,,,,,,
1462826842487612,,17906566767544921143,7675612576036545068,,0,,,,,,,
1462826842502462,,17906566767544921143,5198628003788652644,caelum-401,1,,,,,,,
1462826842502527,,17906566767544921143,7675612576036545068,caelum-409,1,,,,,,,
1462826844738023,,9394024260627557911,10495131349054454335,,0,,,,,,,
1462826844738024,,9394024260627557911,1404797746177978037,,0,,,,,,,
1462826844738025,,9394024260627557911,1404797746177978038,,0,,,,,,,
1462826844738025,,9394024260627557911,1404797746177978039,,0,,,,,,,
1462826844738026,,9394024260627557911,1404797746177978040,,0,,,,,,,
1462826844738027,,9394024260627557911,1404797746177978041,,0,,,,,,,
1462826844738027,,9394024260627557911,1404797746177978042,,0,,,,,,,
1462826844738028,,9394024260627557911,1404797746177978043,,0,,,,,,,
1462826844752146,,9394024260627557911,10495131349054454335,caelum-303,1,,,,,,,
1462826844752232,,9394024260627557911,1404797746177978037,caelum-305,1,,,,,,,
1462826844752302,,9394024260627557911,1404797746177978038,caelum-308,1,,,,,,,
1462826844752344,,9394024260627557911,1404797746177978039,caelum-107,1,,,,,,,
1462826844752406,,9394024260627557911,1404797746177978040,caelum-412,1,,,,,,,
1462826844752614,,9394024260627557911,1404797746177978041,caelum-410,1,,,,,,,
1462826844752655,,9394024260627557911,1404797746177978042,caelum-310,1,,,,,,,
1462826844752718,,9394024260627557911,1404797746177978043,caelum-208,1,,,,,,,
1462826846583285,,17906566767544921143,7675612576036545068,18397038114275363129,4,,,,,,,
1462826846696094,,17906566767544921143,5198628003788652644,12460379842114343060,4,,,,,,,
1462826846989538,,4314799640615371901,17948074771287600756,,0,,,,,,,
1462826846989539,,4314799640615371901,16775772180262218665,,0,,,,,,,
1462826846989540,,4314799640615371901,16775772180262218670,,0,,,,,,,
1462826846989540,,4314799640615371901,16775772180262218671,,0,,,,,,,
1462826846989541,,4314799640615371901,16775772180262218668,,0,,,,,,,
1462826846989541,,4314799640615371901,16775772180262218669,,0,,,,,,,
1462826846989542,,4314799640615371901,16775772180262218658,,0,,,,,,,
1462826846989542,,4314799640615371901,16775772180262218659,,0,,,,,,,
1462826846989543,,4314799640615371901,16775772180262218656,,0,,,,,,,
1462826846989543,,4314799640615371901,16775772180262218657,,0,,,,,,,
1462826846989544,,4314799640615371901,16775772180262218662,,0,,,,,,,
1462826846989544,,4314799640615371901,16775772180262218663,,0,,,,,,,
1462826846989544,,4314799640615371901,16775772180262218660,,0,,,,,,,
1462826846989545,,4314799640615371901,16775772180262218661,,0,,,,,,,
1462826846989545,,4314799640615371901,16775772180262218682,,0,,,,,,,
1462826846989546,,4314799640615371901,16775772180262218683,,0,,,,,,,
1462826847004739,,4314799640615371901,16775772180262218665,caelum-210,1,,,,,,,
1462826847004857,,4314799640615371901,17948074771287600756,caelum-309,1,,,,,,,
1462826847004931,,4314799640615371901,16775772180262218670,caelum-209,1,,,,,,,
1462826847004976,,4314799640615371901,16775772180262218671,caelum-211,1,,,,,,,
1462826847005054,,4314799640615371901,16775772180262218668,caelum-312,1,,,,,,,
1462826847005102,,4314799640615371901,16775772180262218669,caelum-414,1,,,,,,,
1462826847005139,,4314799640615371901,16775772180262218658,caelum-302,1,,,,,,,
1462826847005178,,4314799640615371901,16775772180262218659,caelum-314,1,,,,,,,
1462826847005234,,4314799640615371901,16775772180262218656,caelum-105,1,,,,,,,
1462826847005286,,4314799640615371901,16775772180262218657,caelum-109,1,,,,,,,
1462826847005333,,4314799640615371901,16775772180262218662,caelum-405,1,,,,,,,
1462826847005373,,4314799640615371901,16775772180262218663,caelum-108,1,,,,,,,
1462826847005412,,4314799640615371901,16775772180262218660,caelum-207,1,,,,,,,
1462826847005457,,4314799640615371901,16775772180262218661,caelum-411,1,,,,,,,
1462826847005495,,4314799640615371901,16775772180262218682,caelum-206,1,,,,,,,
1462826847005532,,4314799640615371901,16775772180262218683,caelum-413,1,,,,,,,
1462826849239080,,5647898570721862804,16182366278679936123,,0,,,,,,,
1462826849239081,,5647898570721862804,14660072798890935154,,0,,,,,,,
1462826849239082,,5647898570721862804,14660072798890935155,,0,,,,,,,
1462826849239083,,5647898570721862804,14660072798890935152,,0,,,,,,,
1462826849239083,,5647898570721862804,14660072798890935153,,0,,,,,,,
1462826849239084,,5647898570721862804,14660072798890935182,,0,,,,,,,
1462826849239084,,5647898570721862804,14660072798890935183,,0,,,,,,,
1462826849239085,,5647898570721862804,14660072798890935180,,0,,,,,,,
1462826849239085,,5647898570721862804,14660072798890935181,,0,,,,,,,
1462826849239086,,5647898570721862804,14660072798890935178,,0,,,,,,,
1462826849239086,,5647898570721862804,14660072798890935179,,0,,,,,,,
1462826849239087,,5647898570721862804,14660072798890935176,,0,,,,,,,
1462826849239087,,5647898570721862804,14660072798890935177,,0,,,,,,,
1462826849239088,,5647898570721862804,14660072798890935174,,0,,,,,,,
1462826849256246,,5647898570721862804,16182366278679936123,caelum-301,1,,,,,,,
1462826849256455,,5647898570721862804,14660072798890935154,caelum-402,1,,,,,,,
1462826849256535,,5647898570721862804,14660072798890935155,caelum-401,1,,,,,,,
1462826849256614,,5647898570721862804,14660072798890935152,caelum-403,1,,,,,,,
1462826849256701,,5647898570721862804,14660072798890935153,caelum-407,1,,,,,,,
1462826849256822,,5647898570721862804,14660072798890935182,caelum-308,1,,,,,,,
1462826849256879,,5647898570721862804,14660072798890935183,caelum-106,1,,,,,,,
1462826849256922,,5647898570721862804,14660072798890935180,caelum-313,1,,,,,,,
1462826849256981,,5647898570721862804,14660072798890935181,caelum-306,1,,,,,,,
1462826849257249,,5647898570721862804,14660072798890935178,caelum-310,1,,,,,,,
1462826849257297,,5647898570721862804,14660072798890935179,caelum-311,1,,,,,,,
1462826849257351,,5647898570721862804,14660072798890935176,caelum-212,1,,,,,,,
1462826849257435,,5647898570721862804,14660072798890935177,caelum-406,1,,,,,,,
1462826849257540,,5647898570721862804,14660072798890935174,caelum-307,1,,,,,,,
1462826849459613,,9394024260627557911,1404797746177978037,15150419199718058823,4,,,,,,,
1462826849890457,,9394024260627557911,1404797746177978038,18139937873059470368,4,,,,,,,
1462826849969791,,9394024260627557911,1404797746177978042,17041108331634233605,4,,,,,,,
1462826850048801,,9394024260627557911,1404797746177978040,5568701348671103665,4,,,,,,,
1462826850480773,,9394024260627557911,1404797746177978041,3405283305900188873,4,,,,,,,
1462826851107694,,9394024260627557911,10495131349054454335,12035102918045360124,4,,,,,,,
