1712427435143505175,5198628003788652644,1712427435143505175,1462853652066582,3783336,3783336,1
1712427435143505175,7675612576036545068,1712427435143505175,1462853652066583,4134559,4134559,1
18309763564554922523,11076474489401133675,18309763564554922523,1462853655566910,5256721,5256721,1
18309763564554922523,2779933283319291902,18309763564554922523,1462853655566906,5789908,5789908,1
18309763564554922523,11076474489401133655,18309763564554922523,1462853655566908,5915767,5915767,1
18309763564554922523,11076474489401133674,18309763564554922523,1462853655566910,6040582,6040582,1
18309763564554922523,11076474489401133652,18309763564554922523,1462853655566909,6126653,6126653,1
18309763564554922523,11076474489401133649,18309763564554922523,1462853655566907,6198220,6198220,1
18309763564554922523,11076474489401133654,18309763564554922523,1462853655566908,6210767,6210767,1
10878918107846470346,8261504185873394204,10878918107846470346,1462853659068569,5323434,5323434,1
718013349907785481,16161875279536240774,718013349907785481,1462853662568441,2166327,2166327,1
10878918107846470346,12118275631278919653,10878918107846470346,1462853659068570,6041763,6041763,1
10878918107846470346,12118275631278919662,10878918107846470346,1462853659068574,6162994,6162994,1
718013349907785481,16161875279536240769,718013349907785481,1462853662568442,2791712,2791712,1
718013349907785481,16161875279536240779,718013349907785481,1462853662568437,2816787,2816787,1
718013349907785481,15340779024540566169,718013349907785481,1462853662568433,3061949,3061949,1
10878918107846470346,12118275631278919654,10878918107846470346,1462853659068571,6584571,6584571,1
718013349907785481,16161875279536240775,718013349907785481,1462853662568440,3175145,3175145,1
718013349907785481,16161875279536240771,718013349907785481,1462853662568443,3183854,3183854,1
718013349907785481,16161875279536240770,718013349907785481,1462853662568444,3185648,3185648,1
718013349907785481,16161875279536240797,718013349907785481,1462853662568445,3196555,3196555,1
10878918107846470346,12118275631278919633,10878918107846470346,1462853659068576,6846868,6846868,1
718013349907785481,16161875279536240777,718013349907785481,1462853662568435,3364090,3364090,1
718013349907785481,16161875279536240778,718013349907785481,1462853662568438,3429172,3429172,1
718013349907785481,16161875279536240772,718013349907785481,1462853662568440,3661624,3661624,1
10878918107846470346,12118275631278919635,10878918107846470346,1462853659068577,7171283,7171283,1
10878918107846470346,12118275631278919660,10878918107846470346,1462853659068574,7226103,7226103,1
10878918107846470346,12118275631278919634,10878918107846470346,1462853659068576,7367809,7367809,1
10878918107846470346,12118275631278919663,10878918107846470346,1462853659068575,7456805,7456805,1
718013349907785481,16161875279536240768,718013349907785481,1462853662568443,4083955,4083955,1
10878918107846470346,12118275631278919658,10878918107846470346,1462853659068573,8092952,8092952,1
10878918107846470346,12118275631278919657,10878918107846470346,1462853659068572,8329848,8329848,1
10878918107846470346,12118275631278919656,10878918107846470346,1462853659068572,9052868,9052868,1
10878918107846470346,12118275631278919655,10878918107846470346,1462853659068571,9071478,9071478,1
3628996908979947785,8677913115049782730,3628996908979947785,1462853666065978,4085720,4085720,1
3628996908979947785,5663780739977923338,3628996908979947785,1462853666065979,4251647,4251647,1
10878918107846470346,12118275631278919659,10878918107846470346,1462853659068573,14512631,14512631,1
16026045534954167370,2347590439429618799,16026045534954167370,1462853669567216,5093043,5093043,1
16026045534954167370,6276604072005432260,16026045534954167370,1462853669567221,5959068,5959068,1
16026045534954167370,6276604072005432261,16026045534954167370,1462853669567220,6036230,6036230,1
16026045534954167370,6276604072005432263,16026045534954167370,1462853669567218,6100311,6100311,1
16026045534954167370,6276604072005432262,16026045534954167370,1462853669567219,6732088,6732088,1
16026045534954167370,6276604072005432258,16026045534954167370,1462853669567223,6841806,6841806,1
16026045534954167370,6276604072005432257,16026045534954167370,1462853669567224,8713935,8713935,1
15924514084241159088,12272217460657938738,15924514084241159088,1462853673068570,5718868,5718868,1
15924514084241159088,12272217460657938752,15924514084241159088,1462853673068590,5823065,5823065,1
15924514084241159088,12272217460657938765,15924514084241159088,1462853673068587,6056714,6056714,1
15165754222449329899,4074130555750996969,15165754222449329899,1462853676568099,2704019,2704019,1
15165754222449329899,4074130555750996963,15165754222449329899,1462853676568104,2751703,2751703,1
15165754222449329899,4074130555750996964,15165754222449329899,1462853676568107,2766771,2766771,1
15165754222449329899,4074130555750996965,15165754222449329899,1462853676568107,2804801,2804801,1
15165754222449329899,9115043405074991043,15165754222449329899,1462853676568097,3019137,3019137,1
15924514084241159088,12272217460657938766,15924514084241159088,1462853673068589,6603717,6603717,1
15924514084241159088,12272217460657938753,15924514084241159088,1462853673068589,6621704,6621704,1
15924514084241159088,12272217460657938761,15924514084241159088,1462853673068573,6861672,6861672,1
15924514084241159088,12272217460657938740,15924514084241159088,1462853673068571,6877847,6877847,1
15924514084241159088,12272217460657938743,15924514084241159088,1462853673068572,6943023,6943023,1
718013349907785481,16161875279536240776,718013349907785481,1462853662568436,17455514,17455514,1
15165754222449329899,4074130555750996962,15165754222449329899,1462853676568104,3507480,3507480,1
15165754222449329899,4074130555750996966,15165754222449329899,1462853676568106,3562083,3562083,1
15924514084241159088,12272217460657938767,15924514084241159088,1462853673068588,7110006,7110006,1
15924514084241159088,12272217460657938760,15924514084241159088,1462853673068573,7135222,7135222,1
15165754222449329899,4074130555750996972,15165754222449329899,1462853676568103,3779959,3779959,1
15165754222449329899,4074130555750996975,15165754222449329899,1462853676568102,3903992,3903992,1
15165754222449329899,4074130555750996960,15165754222449329899,1462853676568105,3977193,3977193,1
15924514084241159088,12272217460657938741,15924514084241159088,1462853673068571,7747348,7747348,1
15165754222449329899,4074130555750996973,15165754222449329899,1462853676568103,4487555,4487555,1
15165754222449329899,4074130555750996961,15165754222449329899,1462853676568105,4814356,4814356,1
