1473708355530493,7221,0,21770,0,0,0,2,2,40,1391,0,1898,3,4,2,1306,81,1,1,2,0,80,80,1305,2,1,2,426,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0
1473708355552442,8044,3165,19770,0,0,0,6,4,0,326,0,733,7,8,4,0,321,1,0,4,0,320,400,0,4,1,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0
1473708357531226,8951,1099,21485,0,0,0,22,16,0,17,0,49,71,32,16,0,0,1,0,16,0,0,0,0,16,1,16,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,31,0,0,40,0,0,0,0
1473708357552961,7900,6221,18921,0,0,0,30,8,0,9,0,25,15,24,8,0,0,1,0,8,0,0,0,0,8,1,8,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,15,0,0,0,0,0,0,0
1473708361531509,9012,0,21030,0,0,0,44,18,0,17,3,65,36,57,16,0,0,1,0,16,0,0,16,0,16,1,16,0,1,2,0,0,0,0,0,25,0,32,0,0,0,0,31,0,0,5,0,0,0,0
1473708361561543,10210,3117,23242,0,0,0,76,32,0,33,0,97,243,64,32,0,0,1,0,32,0,0,0,0,32,1,32,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,63,0,0,180,0,0,0,0
1473708363529242,9270,3730,21481,0,0,0,74,10,0,5,6,13,357,8,4,0,0,1,0,4,0,0,0,0,4,1,4,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,350,0,0,0,0
1473708363549996,8251,836,19078,0,0,0,76,2,0,3,0,67,23,39,2,0,0,1,0,2,0,0,60,0,2,1,2,0,0,0,0,0,0,0,0,35,0,4,0,0,0,0,3,0,0,20,0,0,0,0
1473708365530312,9394,3800,21365,0,0,0,78,14,0,9,8,68,55,40,8,0,0,1,0,8,0,0,43,0,8,1,8,0,2,6,0,0,0,0,0,24,0,16,0,0,0,0,15,0,0,40,0,0,0,0
1473708365558977,10539,3375,24785,0,0,0,94,16,0,17,0,190,369,44,16,0,0,1,0,86,0,0,1,0,86,1,16,0,0,0,0,0,0,0,0,12,0,32,0,0,0,0,31,0,0,338,0,0,0,0
1473708369534217,9901,2770,23750,0,0,0,77,49,0,17,35,87,54,91,16,0,0,1,0,16,0,0,38,0,16,1,16,0,2,33,0,0,0,0,0,59,0,32,0,0,0,0,31,0,0,23,0,0,0,0
1473708369565708,10984,2974,24647,0,0,0,109,32,0,33,0,97,373,64,32,0,0,1,0,32,0,0,0,0,32,1,32,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,63,0,0,310,0,0,0,0
1473708371527156,7985,1419,19649,0,0,0,75,38,0,3,38,54,18,54,2,0,0,1,0,2,0,0,47,0,2,1,2,0,2,36,0,0,0,0,0,50,0,4,0,0,0,0,3,0,0,15,0,0,0,0
1473708371550930,10113,2992,21831,0,0,0,79,4,0,5,0,13,327,8,4,0,0,1,0,4,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,320,0,0,0,0
1473708373530140,9199,3702,21336,0,0,0,79,16,0,9,9,89,42,41,8,0,0,1,0,8,0,0,64,0,8,1,8,0,1,8,0,0,0,0,0,25,0,16,0,0,0,0,15,0,0,27,0,0,0,0
1473708373557089,10394,3410,22922,0,0,0,95,16,0,17,0,49,321,32,16,0,0,1,0,16,0,0,0,0,16,1,16,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,31,0,0,290,0,0,0,0
1473708377546333,9791,3843,33117,0,0,0,95,64,0,33,34,241,387,143,32,0,0,1,0,95,0,0,18,0,95,1,32,0,2,32,0,0,0,0,0,79,0,64,0,0,0,0,63,0,0,324,0,0,0,0
1473708377573782,10338,2174,22691,0,0,0,111,16,0,17,0,66,31,36,16,0,0,1,0,16,0,0,17,0,16,1,16,0,0,0,0,0,0,0,0,4,0,32,0,0,0,0,31,0,0,0,0,0,0,0
1473708379528693,9599,2236,21258,0,0,0,77,38,0,3,39,63,23,31,2,0,0,1,0,2,0,0,56,0,2,1,2,0,3,36,0,0,0,0,0,27,0,4,0,0,0,0,3,0,0,20,0,0,0,0
1473708379551508,9395,2463,20911,0,0,0,81,4,0,5,0,13,347,8,4,0,0,1,0,4,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,340,0,0,0,0
1473708381532892,9866,2875,22978,0,0,0,86,27,0,17,14,49,331,32,16,0,0,1,0,16,0,0,0,0,16,1,16,0,2,11,0,1,0,0,0,0,0,32,0,0,0,0,31,0,0,300,0,0,0,0
1473708381556439,8972,2230,20671,0,0,0,94,8,0,10,0,134,15,16,8,0,1,1,0,8,0,0,109,0,8,1,8,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,15,0,0,0,0,0,0,0
1473708385533007,10134,4096,22548,0,0,0,79,47,0,17,32,96,64,94,16,0,0,1,0,16,0,0,47,0,16,1,16,0,1,31,0,0,0,0,0,62,0,32,0,0,0,0,31,0,0,33,0,0,0,0
1473708385564297,10844,3734,24406,0,0,0,111,32,0,33,0,97,393,64,32,0,0,1,0,32,0,0,0,0,32,1,32,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,63,0,0,330,0,0,0,0
1473708387528443,9269,3790,21015,0,0,0,76,39,0,3,40,67,20,59,2,0,0,1,0,2,0,0,60,0,2,1,2,0,3,37,0,0,0,0,0,55,0,4,0,0,0,0,3,0,0,17,0,0,0,0
